#,Organization,Ward,Service Area,# of Grants,Total Allocations,AEHR,CLI,CR,CSI,CFSE,CFSE   Pan Am,ENF,CSP,CBIP,GameOn,StART,HER,HIF,INI,LASO,MCO,MUS,SDIP,SNP,TAC,OTHER
,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Boost Child Abuse Prevention and Intervention,27,City-wide,1,256880,,,,,,,,256880,,,,,,,,,,,,7000,
83,BoucharDanze,17,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,,
84,Braeburn Neighbourhood Place,2,Area services,1,46825,,,,,,,,46825,,,,,,,,,,,,5000,
85,Broken Heals,18,Local,1,5000,,,,,,,,,,,,,,,,,,,,18000,
86,BUCC  N FLVR DANCE COMPANY,35,Local,1,18000,,,,,,,,,,,,,,,,,,,,143000,
87,Buddies In Bad Times Theatre,27,City-wide,1,143000,,,,,,,,,,,,,,,,,,,,10000,
88,Butcher's Block Productions,18,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,9000,
89,C-A-Mcorder Productions,17,City-wide,1,9000,,,,,,,,,,,,,,,,,,,,,
90,Cabbagetown Youth Centre Inc,28,Area services,1,36525,,,,,,,,36525,,,,,,,,,,,,21000,
91,CADA-ON,28,City-wide,1,21000,,,,,,,,,,,,,,,,,,,,44000,
92,Cahoots Theatre Projects,28,City-wide,1,44000,,,,,,,,,,,,,,,,,,,,10000,
93,Cajuca Mas Arts Producers,37,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,15000,
94,Canada Clown,20,City-wide,1,15000,,,,,,,,,,,,,,,,161000,,,,,
95,Canada's National Ballet School ,27,City-wide,1,161000,,,,,,,,,,,,,,,,,,,,,
96,Canadian Centre for Victims of Torture,27,City-wide,1,25925,,,,,,,,25925,,,,,,,,,,,,22500,
97,Canadian Children's Opera Company,28,City-wide,1,22500,,,,,,,,,,,,,,,,,,,,55000,
98,Canadian Contemporary Dance Theatre,20,City-wide,1,55000,,,,,,,,,,,,,,,,,,,,5000,
99,Canadian Film in the Schools,20,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,51000,
100,Canadian Filmmakers Distribution Centre,20,City-wide,1,51000,,,,,,,,,,,,,,,,,,,,4000,
101,Canadian Gay and Lesbian Archives,27,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,,
102,Canadian Hearing Society,22,City-wide,1,17060,,,,,,,,17060,,,,,,,,,,,,3000,
103,Canadian Men's Chorus,20,City-wide,1,3000,,,,,,,,,,,,,,,,,,,,,
104,"Canadian Mental Health Association, The",15,City-wide,1,17290,,,,,,,,17290,,,,,,,,,,,,70000,
105,Canadian Music Centre,27,City-wide,1,70000,,,,,,,,,,,,,,,,1522800,,,,,
106,Canadian Opera Company,28,City-wide,1,1522800,,,,,,,,,,,,,,,,,,,,,
107,"Canadian Red Cross, Markham Office",38,Area Services,1,27560,,,,,,,,27560,,,,,71500,,,,,,,,
108,"Canadian Red Cross, Toronto Region",18,City-wide,1,71500,,,,,,,,,,,,,,,,,,,,3000,
109,Canadian Rep Theatre,28,Local,1,3000,,,,,,,,,,,,,,,,,,,,10000,
110,Canadian Roots Exchange,19,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,7000,
111,"Canadian Society of Children's Authors, Ilustrators",6,City-wide,1,7000,,,,,,,,,,,,,,,,,,,,905000,
112,Canadian Stage Company,28,City-wide,1,905000,,,,,,,,,,,,,,,,,,,,,
113,Canadian Tamil Youth Development Centre,38,City-wide,1,123130,,,,,,,,123130,,,,,,,,,,,,18000,
114,CanAsian Dance Festival,20,City-wide,1,18000,,,,,,,,,,,,,,,,,,,,,
115,CANES Community Centre,2,Area Services,1,64955,,,,,,,,64955,,,,,,,,,,,,10000,
116,CANORAA INC.,35,City-wide,1,10000,,,,,,,,,,,,,,,,,,,,5000,
117,CANVAS Programs,21,Local,1,5000,,,,,,,,,,,,,,,,,,,,5000,
118,Canzine Arts Festival,20,City-wide,1,5000,,,,,,,,,,,,,,,,,,,,,
119,Carefirst Seniors and Community Services Association,39,City-wide,1,90965,,,,,,,,90965,,,,,,,,,,,,24000,
120,CARFAC Ontario,20,City-wide,1,24000,,,,,,,,,,,,,,,,,,,,2000,
121,CaribbeanTales International Film Festival,19,City-wide,1,2000,,,,,,,,,,,,,,,,,,,,15000,
122,Cathedral Bluffs Symphony Orchestra,42,Local,1,15000,,,,,,,,,,,,,,,,,,,,,
123,Catholic Crosscultural Services,38,Area Services,1,25860,,,,,,,,25860,,,,,,,,,,,,,
124,Cecil Community Centre,20,Area  services,1,4970,,,,,,,,4970,,,,,,,,,,,,8850,
125,Cecilia String Quartet,28,City-wide,1,8850,,,,,,,,,,,,,,,,,,,,5500,
126,Cedar Ridge Studio Gallery,43,City-wide,1,5500,,,,,,,,,,,,,,,,,,,,,
127,Central Eglinton Community Centre,22,Area Services,1,26685,,,,,,,,26685,,,,,,,,,,,,6000,
128,Central Neighbourhood House Association,28,Area services,1,6000,,,,,,,,,,,,,,,,,,,,13000,
129,Central Toronto Youth Services,27,City-wide,1,13000,,,,,,,,,,,,,,,,,,,,,
130,Centre for Community Learning and Development,28,City-wide,1,44410,,,,,,,,44410,,,,,118670,,,,,,,,
131,Centre for Equality Rights in Accommodation,19,City-wide,2,148670,30000,,,,,,,,,,,,,,,,,,,,
132,Centre for Immigrant and Community Services,41,City-wide,1,115455,,,,,,,,115455,,,,,,,,,,,,,
133,Centre for Independent Living in Toronto (C.I.L.T.) ,27,City-wide,1,23065,,,,,,,,23065,,,,,,,,,,,,40000,
134,Centre for Indigenous Theatre,19,City-wide,1,40000,,,,,,,,,,,,,,,,,,,,,
135,Centre For Spanish Speaking Peoples (The),9,City-wide,4,122800,,,25000,,9000,,,60800,,,28000,,,,,,,,,54500,
136,Charles Street Video,19,City-wide,1,54500,,,,,,,,,,,,,,,,,,,,8000,
137,Chiaroscuro Reading Series,20,City-wide,1,8000,,,,,,,,,,,,,57409,,,,,,,,
138,Children's Aid Society of Toronto,30,City-wide,1,57409,,,,,,,,,,,,,,,,,,,,25000,
139,Children's Peace Theatre,31,Area Services,2,52000,,,,,,27000,,,,,,,,,,,,,,13000,
140,Chinese Artists Society of Toronto,42,City-wide,1,13000,,,,,,,,,,,,,,,,,,,,,
141,Chinese Canadian National Council Toronto Chapter,20,City-wide,2,90425,,,,35000,,,,55425,,,,,,,,,,,,,
142,Chinese Cultural Centre of Greater Toronto,42,City-wide,2,49000,,,,,,28000,,,21000,,,,,,,,,,,,
143,Chinese Family Services of Ontario,41,City-wide,1,36865,,,,,,,,36865,,,,,,,,,,,,8000,
144,Chocolate Woman Collective,17,City-wide,1,8000,,,,,,,,,,,,,,,,,,,,4800,
145,Choirs Ontario,22,City-wide,1,4800,,,,,,,,,,,,,,,,,,,,,
146,Christie Ossington Neighbourhood Centre,19,City-wide,1,67580,,,,,,,,67580,,,,,,,,,,,,1000,
147,Christie Pits Film Festival,19,Local,1,1000,,,,,,,,,,,,,,,,,,,,,
148,Church of the Redeemer,7,Local,1,70000,,,,,,,,,,,,70000,,,,,,,,,
149,Circle of Home Care Services (Toronto),25,City-wide,2,97045,,,,,,,,97045,,,,,,,,,,,,22000,
150,Clay and Paper Theatre,18,City-wide,1,22000,,,,,,,,,,,,,,,,,,,,,
151,Cliffcrest Community Centre,38,Local,1,33215,,,,,,,,33215,,,,,,,,,,,,24000,
152,COBA Collective of Black Artists,13,City-wide,1,24000,,,,,,,,,,,,,,,,,,,,40000,
153,Coleman Lemieux & Compagnie,28,City-wide,1,40000,,,,,,,,,,,,,,,,,,,,7950,
154,Common People,28,City-wide,1,7950,,,,,,,,,,,,,,,,,,,,,
155,Community Action Resource Centre,12,Area services,1,156420,,,,,,,,156420,,,,,,,,,,,,,
156,Community Centre 55,32,Local,1,15000,,,,,,,,,,,15000,,,,,,,,,,
157,Community Head Injury Resource Services of Toronto,23,City-wide,1,10337,,,,,,,,,,10337,,,,,,,,,,,
158,Community Information Fairview,33,Area Services,1,31685,,,,,,,,31685,,,,,,,,,,,,,
159,Community Matters Toronto/St. James Town Family Literacy Services. ,28,Area services,1,3500,,,,,,,,,,,3500,,,,,,,,,,
160,Community Microskills Development Centre,2,City-wide,1,77385,,,,,,,,77385,,,,,,,,,,,,,
161,Community Social Planning Council of Toronto,27,City-wide,1,384015,,,,,,,,384015,,,,,,,,,,,,20000,
162,Community Story Collective,25,Local,1,20000,,,,,,,,,,,,,,,,,,,,7000,
163,Compania Carmen Romero,34,City-wide,1,7000,,,,,,,,,,,,,,,,,,40000,,,
164,Connecting Women with Scarborough Services,14,Area Services,1,40000,,,,,,,,,,,,,,,,,,,,4000,
165,Contact Contemporary Music,27,City-wide,1,4000,,,,,,,,,,,,,,,,,,,,3000,
166,Contact Toronto Photography Festival,19,City-wide,1,3000,,,,,,,,,,,,,,,,,,,,,
167,Contemporary Textile Studio,20,City-wide,1,7350,,,,,,,,,7350,,,,,,,,,,,21000,
168,Continuum,21,City-wide,1,21000,,,,,,,,,,,,,,,,,,,,33000,
169,Corpus Dance Projects ,19,City-wide,1,33000,,,,,,,,,,,,,571725,,,,,,,,
170,COSTI Immigrant Services,17,Area services,2,698580,,,,,,,,126855,,,,,,,,,,,,,
171,Council of Agencies Serving South Asians (CASSA),35,City-wide,1,55425,,,,,,,,55425,,,,,,,,,,,,32000,
172,Craft Ontario,19,City-wide,1,32000,,,,,,,,,,,,,,,,,,,,,
173,Cross Cultural Community Services Association,20,City-wide,1,26115,,,,,,,,26115,,,,,139108,,,,,,,,
174,Cross Toronto Community Development Corp. (Fresh Start Cleaning),19,Area services,1,139108,,,,,,,,,,,,,,,,,,,,42000,
175,Crow's Theatre Company,28,City-wide,1,42000,,,,,,,,,,,,,,,,,,,,,
